Quote,Author
"Nothing is impossible. The word itself says, 'I'm Possible'!",Aubrey Hepburn
A goal properly set is halfway reached.,Zig Ziglar
A kick in the teeth may be the best thing in the world for you.,Walt Disney
A lot of problems in the world would be solved if we talked to each other instead of about each other.,Nickey Gumbel
A person is a genius when he is dreaming.,Akira Kurosawa
"A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.",Antoine De Saint-Exupery
"Ah, Hope! what would life be, stripped of thy encouraging smiles, that teach us to look behind the dark clouds of today.",Susanna Moodie
"All our dreams can come true, if we have the courage to pursue them.",Walt Disney
"Always will I take another step. If that is of no avail I will take another, and another. One step at a time is not too difficult.",Og Mandino
